Tam,Acc LSTM,Acc TDA,Acc TDA+LSTM
40.0,0.5625,0.5375,0.575
90.0,0.6166666716337204,0.47222222222222215,0.6277777777777777
140.0,0.7821428537368774,0.5107142857142857,0.7964285714285714
190.0,0.7763157904148101,0.5526315789473684,0.7789473684210526
240.0,0.8749999940395355,0.7374999999999999,0.8895833333333334
290.0,0.917241382598877,0.7982758620689655,0.9241379310344827
340.0,0.930882352590561,0.7735294117647059,0.9323529411764706
390.0,0.9461538374423981,0.841025641025641,0.9551282051282051
440.0,0.9522727370262146,0.8352272727272728,0.9545454545454545
490.0,0.9663265407085418,0.8306122448979594,0.9683673469387755
